Gene_ID,Gene_Annotation ,Protein_Sequence_Length,mean_Similarity,NO_GOs ,Gos,Enzyme_Codes
g1.t1,sugar transporter,410,60.15%,4,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport,-
g10.t1,sulfite oxidase,287,66.05%,4,P:oxidation reduction; F:molybdenum ion binding; F:electron carrier activity; F:sulfite oxidase activity,EC:1.8.3.1
g100.t1,Not Available,352,,0,-,
g1000.t1,mannosylphosphate transferase,291,74.05%,1,F:transferase activity,-
g10000.t1,Not Available,525,,0,-,
g10001.t1,chitin synthase activator,1257,65.65%,3,P:ascospore formation; F:binding; P:pathogenesis,-
g10002.t1,udp-glucose:glycoprotein glucosyltransferase,1505,71.90%,2,P:protein amino acid glycosylation; F:UDP-glucose:glycoprotein glucosyltransferase activity,-
g10003.t1,Not Available,244,,0,-,
g10004.t1,hypothetical protein BC1G_15740 [Botryotinia fuckeliana B05.10],430,55.10%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10005.t1,Not Available,222,,0,-,
g10006.t1,white collar 1 protein,995,67.05%,9,"F:zinc ion binding; P:regulation of transcription, DNA-dependent; P:protein-chromophore linkage; P:detection of visible light; F:sequence-specific DNA binding; F:G-protein coupled photoreceptor activity; F:transcription factor activity; P:signal transduction; C:nucleus",-
g10007.t1,Not Available,1266,,0,-,
g10008.t1,importin subunit beta-3,1095,86.20%,3,P:intracellular protein transport; F:binding; F:protein transporter activity,-
g10009.t1,sds23 moc1,505,73.50%,4,C:nucleus; P:metabolic process; C:cytoplasm; F:catalytic activity,-
g1001.t1,Not Available,291,,0,-,
g10010.t1,Not Available,240,,0,-,
g10011.t1,Not Available,378,,0,-,
g10012.t1,ribosome assembly protein 3,71,72.25%,1,F:molecular_function,
g10013.t1,integral membrane protein,593,68.80%,0,-,
g10014.t1,Not Available,241,,0,-,
g10015.t1,Not Available,365,,0,-,
g10016.t1,metallo-beta-lactamase domain,276,72.75%,1,F:hydrolase activity,-
g10017.t1,ubiquitin carboxyl-terminal hydrolase-like protein,567,71.55%,4,P:ubiquitin-dependent protein catabolic process; F:ubiquitin thiolesterase activity; F:zinc ion binding; F:cysteine-type peptidase activity,EC:3.1.2.15
g10018.t1,n -adenine-specific dna methyltransferase,779,57.25%,3,F:nucleic acid binding; F:methyltransferase activity; P:methylation,EC:2.1.1.0
g10019.t1,Not Available,511,,0,-,
g1002.t1,ubiquitin metalloprotease fusion protein,343,62.55%,1,F:metallopeptidase activity,-
g10020.t1,nadh-ubiquinone oxidoreductase 40 kda subunit,374,88.90%,6,F:binding; C:respiratory chain; C:mitochondrial matrix; P:transport; F:catalytic activity; P:electron transport chain,-
g10021.t1,gpi transamidase component gaa1,1143,73.95%,1,C:GPI-anchor transamidase complex,-
g10022.t1,26s proteasome regulatory subunit rpn9,1078,84.00%,1,C:proteasome complex,-
g10023.t1,aconitate mitochondrial precursor,773,55.00%,0,-,
g10024.t1,aconitate hydratase,771,90.40%,5,"; ; F:aconitate hydratase activity; P:tricarboxylic acid cycle; F:4 iron, 4 sulfur cluster binding",EC:4.2.1.3
g10025.t1,zinc finger protein,144,75.50%,3,F:zinc ion binding; F:nucleic acid binding; C:intracellular,-
g10026.t1,dash complex component,289,72.15%,1,F:molecular_function,
g10027.t1,phosphatidylinositol transfer protein csr1,734,70.40%,0,-,
g10028.t1,hit domain protein,507,85.75%,7,F:kinase activity; P:nucleotide metabolic process; C:cytoplasm; F:hydrolase activity; P:phosphorylation; C:nucleus; F:nucleotide binding,-
g10029.t1,hmg box-containing protein,800,69.80%,1,F:DNA binding,-
g1003.t1,Not Available,192,,0,-,
g10030.t1,ran-interacting mog1 protein,520,85.25%,0,-,
g10031.t1,Not Available,357,,0,-,
g10032.t1,glycosyltransferase family 48 protein,1911,86.85%,3,"F:1,3-beta-glucan synthase activity; P:1,3-beta-glucan biosynthetic process; C:1,3-beta-glucan synthase complex",EC:2.4.1.34
g10033.t1,hypothetical protein CLUG_01701 [Clavispora lusitaniae ATCC 42720],1466,65.00%,0,-,
g10034.t1,Not Available,323,,0,-,
g10035.t1,aminotransferase class i and ii,509,86.70%,3,F:pyridoxal phosphate binding; P:biosynthetic process; F:transaminase activity,EC:2.6.1.0
g10036.t1,Not Available,157,,0,-,
g10037.t1,Not Available,221,,0,-,
g10038.t1,rnase z,332,71.80%,1,F:hydrolase activity,-
g10039.t1,Not Available,127,,0,-,
g1004.t1,hypothetical protein [Podospora anserina S mat+],361,57.40%,4,"P:transposition, DNA-mediated; F:transposase activity; F:DNA binding; P:DNA integration",-
g10040.t1,protein,866,42.70%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g10041.t1,"hypothetical protein CH063_01763, partial [Colletotrichum higginsianum]",75,62.00%,0,-,
g10042.t1,Not Available,131,,0,-,
g10043.t1,helix-loop-helix dna-binding domain containing protein,389,60.10%,3,C:nucleus; F:transcription regulator activity; F:DNA binding,-
g10044.t1,Not Available,225,,0,-,
g10045.t1,Not Available,282,,0,-,
g10046.t1,Not Available,204,,0,-,
g10047.t1,Not Available,475,,0,-,
g10048.t1,alcohol dehydrogenase,358,60.50%,3,F:zinc ion binding; F:alcohol dehydrogenase (NAD) activity; P:oxidation reduction,EC:1.1.1.1
g10049.t1,hypothetical protein GLRG_05313 [Glomerella graminicola M1.001],715,44.50%,3,F:molecular_function; P:biological_process; C:cellular_component,
g1005.t1,Not Available,266,,0,-,
